NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR,JENJANG,Unnamed: 0,BENTUK PENDIDIKAN,WAKTU PENYELENGGARAAN,AKREDITASI_CLEAN,QUALITY_SCORE
SMK MUTIARA SANDI BALEENDAH,20227960,,Pasar Kemis,Manggahang,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375,-7.0191,107.6539,SWASTA,B,Ada,Ada,Pompa,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMK TUNAS SINAR MANDIRI 2,69830393,,Sodong,Tanjung Rasa,Kec. Tanjung Sari,Kab. Bogor,Prov. Jawa Barat,16840,-6.5841,107.1454,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Siang/6 hari,B,75
SMK KARYA PUTRA MANGGALA,69874083,,Cinunjang,Mandalamekar,Kec. Jatiwaras,Kab. Tasikmalaya,Prov. Jawa Barat,46185,-7.4718,108.2229,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Pagi/6 hari,B,75
SMKS NU GABUSWETAN,20253574,,DRUNTENKULON,Drunten Kulon,Kec. Gabuswetan,Kab. Indramayu,Prov. Jawa Barat,45263,-6.4124,108.0411,SWASTA,B,Ada,Ada,Pompa,Cukup,SMK,,SMK,Pagi/6 hari,B,75
SMK AL-JAUHARIYAH,69888855,,Sukaluyu,Sukaluyu,Kec. Cijati,Kab. Cianjur,Prov. Jawa Barat,43277,-7.2853,107.0104,SWASTA,B,Ada,Ada,Sumur terlindungi,Kurang,SMK,,SMK,Pagi/6 hari,B,75
SMK SEHATI KARAWANG,69949224,,KAWALI,Pancawati,Kec. Klari,Kab. Karawang,Prov. Jawa Barat,41371,-6.367,107.3839,SWASTA,A,Ada,Ada,Sumur tidak terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMKS MUHAMMADIYAH 2 CIBIRU,20219173,,-,Palasari,Kec. Cibiru,Kota Bandung,Prov. Jawa Barat,40615,-6.9238,107.7131,SWASTA,A,Ada,Ada,Sumur terlindungi,Kurang,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMK KEHUTANAN NEGERI KADIPATEN,20263963,,Cipaku,Cipaku,Kec. Kadipaten,Kab. Majalengka,Prov. Jawa Barat,45452,-6.7637,108.1833,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMK AL-JIHAD PANGALENGAN,20228511,,Cibiana,LAMAJANG,Kec. Pangalengan,Kab. Bandung,Prov. Jawa Barat,40378,-7.1282,107.5554,SWASTA,B,Ada,Ada,Mata air terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMK Darus Saadah,70028589,,DESA CIJUJUNG,Cijujung,Kec. Sukaraja,Kab. Bogor,Prov. Jawa Barat,16710,-6.5246408,106.8433092,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Pagi/6 hari,A,100
SMKS SINGAPARNA,20229518,,Cikeleng,Arjasari,Kec. Leuwisari,Kab. Tasikmalaya,Prov. Jawa Barat,46464,-7.3405,108.1091,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Pagi/6 hari,A,100
SMK BAITTUL RAHMAT,69952583,,Sehari Penuh/5 hari,Sukatani,Kec. Cilawu,Kab. Garut,Prov. Jawa Barat,44181,-7.3054,107.9193,SWASTA,C,Ada,Tidak Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/6 hari,C,50
SMK GUNA JAYA,69886243,,KP. SUKAMEKAR DESA BUNIWANGI,Buniwangi,Kec. Surade,Kab. Sukabumi,Prov. Jawa Barat,43179,-7.361009,106.541785,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
