NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR,JENJANG,Unnamed: 0,BENTUK PENDIDIKAN,WAKTU PENYELENGGARAAN,AKREDITASI_CLEAN,QUALITY_SCORE
SMAN 6 BEKASI,20223043,SMA,-,Jatirasa,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17423.0,-6.2811,106.9739,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 7 BEKASI,20223042,SMA,Kranggan,Jatisampurna,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat,17433.0,-6.3665,106.9215,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAN 8 BEKASI,20223041,SMA,-,Pekayon Jaya,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17148.0,-6.2658,106.9824,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAN 9 BEKASI,20223040,SMA,Mustika Jaya,Mustika Jaya,Kec. Mustika Jaya,Kota Bekasi,Prov. Jawa Barat,17158.0,-6.2949,107.0307,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA ALEXANDRIA ISLAMIC SCHOOL,69893852,SMA,,Pengasinan,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,,-6.280793,107.00334,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA Al-Mubaarok,70028846,SMA,Jatiasih,Jatirasa,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17424.0,-6.2854,106.9698,SWASTA,BELUM AKREDITASI,Ada,Ada,Pompa,Kurang,SMA,,,,TT,20
SMA BINA NUSANTARA BEKASI,69989441,SPK SMA,,Padurenan,Kec. Mustika Jaya,Kota Bekasi,Prov. Jawa Barat,17156.0,-6.3254,106.9907,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA GALAJUARA,69856209,SMA,Kaliabang Tengah,Kaliabang Tengah,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17125.0,-6.1789,106.9995,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,B,75
SMA HIGHFIELD,70026922,SMA,,Bojong Menteng,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17117.0,-6.2961,106.9932,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA INKLUSI SCHOOL OF HUMAN,69966915,SMA,Kranggan,Jatisampurna,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat,17433.0,-6.368011,106.920407,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA Intelligentsia Nurul Ilmi Secondary School,70027929,SMA,,Mustika Sari,Kec. Mustika Jaya,Kota Bekasi,Prov. Jawa Barat,17157.0,-6.2996,107.0038,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA ISLAM AL-AZHAR 8,69774555,SMA,-,Marga Mulya,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17142.0,-6.2097,107.013,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA ISLAM AL-FAJAR,69886285,SMA,,Jatirasa,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17424.0,-6.3034,106.9691,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA IT AL MUCHTAR,69856205,SMA,,Perwira,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17122.0,-6.2026,107.0141,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA IT INSAN MANDIRI,69856206,SMA,Kalimanggis,Jatikarya,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat,17435.0,-6.3799,106.9126,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA KRISTEN PENABUR SUMMARECON BEKASI,69870886,SMA,Kp. Teluk Buyung,Marga Mulya,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17142.0,-6.2273,107.0052,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA KRISTEN SAINT JOHN,69864697,SMA,Medan Satria,Medan Satria,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17131.0,-6.208198,106.977053,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA MUHAMMADIYAH 9 BEKASI,20223071,SMA,Kelurahan Bekasi Jaya,Bekasi Jaya,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17112.0,-6.2369,107.0076,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA PAPAN RAUDHOTUL JANNAH,70033727,SMA,,Jatiluhur,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17425.0,-6.3147,106.9537,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,B,75
SMA PERGURUAN ADVENT XIV BEKASI,69947164,SMA,Margahayu,Margahayu,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17113.0,-6.2567,107.013,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMA PGRI 2 KOTA BEKASI,20231724,SMA,"PERUMAHAN TYTYAN KENCANA, Kel. Margamulya, Kec. Bekasi Utara",Marga Mulya,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17142.0,-6.221,107.0043,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA QUANTUM INDONESIA,69856208,SMA,Cimatis,Jatikarya,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat,17435.0,-6.390949,106.92012,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA Royal Wells High School,69759856,SMA,Kampung Dua,Jaka Sampurna,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17145.0,-6.2314,106.9823,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA SANTA LUSIA BEKASI,69950694,SMA,,Pengasinan,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17115.0,-6.2868579,106.9998872,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA STRADA BHAKTI WIYATA,70006118,SMA,kranji,Kranji,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17135.0,-6.2327,106.9693,SWASTA,A,Ada,Ada,Mata air terlindungi,Cukup,SMA,,,,A,100
SMA SULTHON AULIA BOARDING SCHOOL,69830492,SMA,Jati Cempaka,Jaticempaka,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat,17411.0,-6.2616,106.9048,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA TAHFIZH NURJAMILAH,69900732,SMA,Kranji,Kranji,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17135.0,-6.234,106.9711,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMA UNITY SCHOOL,69873998,SMA,Jakasetia,Jaka Setia,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17147.0,-6.2695,106.9668,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAIT ALMARJAN,69820147,SMA,Jatikramat,Jatikramat,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17421.0,-6.281,106.9399,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS AL IHSAN,20223059,SMA,,Kayuringin Jaya,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17144.0,-6.2463,106.9867,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS AL MUHADJIRIN,20223060,SMA,-,Aren Jaya,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17111.0,-6.2972,106.9322,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS ANANDA,20231704,SMA,-,Duren Jaya,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17111.0,-6.2332,107.0219,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAS AR RIDWAN,20252515,SMA,Kp. Pedurenan,Jatiluhur,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17425.0,-6.3168,106.9521,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS ATTAQWA,20223058,SMA,-,Pejuang,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17131.0,-6.1974,106.9875,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS BANI SALEH,20252595,SMA,-,Bekasi Jaya,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17112.0,-6.2457,107.0117,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS BINA SISWA UTAMA,20223057,SMA,-,Kota Baru,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17139.0,-6.2096,106.9691,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS BINA TUNGGAL,20252521,SMA,-,Medan Satria,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17132.0,-6.2097,106.9772,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS CINDERA MATA,20252516,SMA,-,Pejuang,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17131.0,-6.1739,106.9784,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS DARUT TAUBAH,20251864,SMA,-,Harapan Jaya,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17124.0,-6.214,106.9858,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMAS DAYA UTAMA,20252514,SMA,mustikajaya,Mustika Jaya,Kec. Mustika Jaya,Kota Bekasi,Prov. Jawa Barat,17158.0,-6.2981,107.0326,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAS DHARMA PUTRA ADVENT,69759206,SMA,Jakasampurna,Jaka Sampurna,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17145.0,-6.2384,106.9698,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS FLORA,20231709,SMA,-,Harapan Jaya,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17125.0,-6.1738559,107.0042238,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMAS FUTURE GATE,20280604,SMA,Jatiasih,Jatiasih,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17423.0,-6.2851,106.9666,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS GALATIA,20223054,SMA,kota bekasi,Pejuang,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17131.0,-6.1929,106.996,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAS GEMA ISLAMI,20253245,SMA,-,Jatikramat,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17421.0,-6.3142,106.958,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS GLOBAL PERSADA MANDIRI,69774554,SMA,Bekasi Jaya,Bekasi Jaya,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17112.0,-6.2244,107.0176,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS GLOBAL PRESTASI,20246730,SPK SMA,Kampung Dua Jakasampurna,Jaka Sampurna,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17145.0,-6.2487,106.9617,SWASTA,A,Ada,Ada,Sumur terlindungi,Kurang,SMA,,,,A,100
SMAS HANDAYANI,20223053,SMA,Pondok Ranggon,Jatimurni,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat,17431.0,-6.3419,106.9233,SWASTA,C,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,C,50
SMAS HUTAMA,20223052,SMA,-,Jatirahayu,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat,17414.0,-6.289158,106.915626,SWASTA,A,Ada,Ada,Pompa,Kurang,SMA,,,,A,100
SMAS ISLAM AL-AZHAR 4,20253167,SMA,Rawaroko,Bojong Rawalumbu,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17116.0,-6.276,106.9892,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS ISLAM AL-AZHAR HARAPAN INDAH,69786316,SMA,,Pejuang,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17131.0,-6.1836,106.9944,SWASTA,A,Tidak ada,Tidak ada,Lainnya,Tidak ada,SMA,,,,A,100
SMAS ISLAM AN NUR,20253848,SMA,ANNUR,Perwira,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17122.0,-6.2064,107.0132,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS ISLAM ASSYAFIIYAH 02,20231710,SMA,Jaticempaka,Jaticempaka,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat,17411.0,-6.2718,106.9201,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAS ISLAM DARUL ABROR,20231711,SMA,Jatiraden,Jatiraden,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat,17433.0,-6.351,106.9246,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS ISLAM DARUSALAM,20231708,SMA,-,Jaka Mulya,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17146.0,-6.2569383,106.961295,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS ISLAM PANGLIMA BESAR SOEDIRMAN,20223067,SMA,-,Jaka Setia,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17147.0,-6.2591333,106.97232,SWASTA,A,Ada,Ada,Pompa,Kurang,SMA,,,,A,100
SMAS IT GEMA NURANI,20252518,SMA,-,Kaliabang Tengah,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17125.0,-6.1796,106.9992,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS IT YAPIDH,20223063,SMA,-,Jatiluhur,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17425.0,-6.3045,106.9593,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS KORPRI,20223064,SMA,-,Bekasi Jaya,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17112.0,-6.2318,107.0118,SWASTA,A,Ada,Tidak ada,Pompa,Cukup,SMA,,,,A,100
SMAS KRISTEN PENABUR HARAPAN INDAH,20253599,SMA,-,Pejuang,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17131.0,-6.1881,106.9807,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAS LABSCHOOL CIBUBUR,20276416,SMA,,Jatiranggon,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat,17432.0,-6.3432,106.9253,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS MAHANAIM,20231714,SMA,-,Sepanjang Jaya,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17114.0,-6.259,107.0004,SWASTA,A,Ada,Tidak ada,Lainnya,Cukup,SMA,,,,A,100
SMAS MALIDAR,20223077,SMA,-,Jatirasa,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17424.0,-6.2584,106.991,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS MANDALAHAYU,20223076,SMA,Margahayu,Margahayu,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17113.0,-6.2587,107.0168,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS MARSUDIRINI,20223075,SMA,Bojong Rawalumbu,Bojong Rawalumbu,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17116.0,-6.2769,106.9915,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAS MARTIA BHAKTI,20223074,SMA,Poncol,Kayuringin Jaya,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17144.0,-6.2328,106.9875,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAS METROPOLITAN,20223073,SMA,-,Kranji,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17135.0,-6.2302,106.976,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS MUDI AL AZIZIYYAH,20223072,SMA,Kp. Pamahan Jatimekar,Jatimekar,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17422.0,-6.2586,106.9861,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS MUTIARA 17 AGUSTUS,20231715,SMA,-,Teluk Pucung,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17121.0,-6.2125,107.0311,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAS MUTIARA BARU,20231716,SMA,Sepatan,Sepanjang Jaya,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17114.0,-6.255,107.0128,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS NASIONAL 1,20231717,SMA,Jatirahayu,Jatirahayu,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat,17414.0,-6.2952,106.9184,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAS PANGERAN JAYAKARTA,20223069,SMA,-,Harapan Mulya,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17143.0,-6.2257,106.9865,SWASTA,C,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,C,50
SMAS PANGUDI LUHUR II,20223068,SMA,Jatimurni,Jatimurni,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat,17431.0,-6.3103,106.9317,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAS PATRIOT BEKASI,20231721,SMA,-,Kali Baru,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17133.0,-6.2213,106.9767,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAS PAX PATRIAE,20231722,SMA,-,Jaka Setia,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17147.0,-6.2691183,106.9735517,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS PGRI 1 BEKASI,20223066,SMA,-,Duren Jaya,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17111.0,-6.2339,107.0202,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS PLUS TERATAI PUTIH,20231726,SMA,-,Mustika Jaya,Kec. Mustika Jaya,Kota Bekasi,Prov. Jawa Barat,17310.0,-6.3084,107.0332,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAS PUTRA HARAPAN,20223049,SMA,Kayuringin,Kayuringin Jaya,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17144.0,-6.2342,106.982,SWASTA,B,Ada,Tidak ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMAS SANDIKTA,20223047,SMA,-,Jatirahayu,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat,17414.0,-6.3,106.9237,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS SANTA MARIA MONICA,20223031,SMA,Duren Jaya,Duren Jaya,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,17111.0,-6.2328137,107.0235757,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAS ST BELLARMINUS,20231725,SMA,kemangsari,Jatikramat,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17412.0,-6.2737,106.937,SWASTA,A,Ada,Ada,Mata air terlindungi,Tidak ada,SMA,,,,A,100
SMAS SYARIF HIDAYATULLAH,20223030,SMA,JAKA SETIA,Jaka Setia,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17148.0,-6.2745,106.9805,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,B,75
SMAS TAMAN HARAPAN 1,20223029,SMA,-,Pejuang,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,17131.0,-6.1788,106.993,SWASTA,A,Ada,Ada,Pompa,Tidak ada,SMA,,,,A,100
SMAS TAMAN HARAPAN 2,20254075,SMA,-,Harapan Jaya,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17124.0,-6.2078,106.9955,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS TAMAN SISWA BEKASI,20223028,SMA,-,Pengasinan,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17115.0,-6.2637,107.0056,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS TOGA TERANG,20223027,SMA,-,Bintara Jaya,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17136.0,-6.2419,106.9454,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMAS TULUS BHAKTI,20223025,SMA,-,Jatiasih,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat,17423.0,-6.2912,106.9638,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS TUNAS JAKA SAMPURNA,20223024,SMA,-,Jaka Setia,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat,17147.0,-6.2614017,106.96807,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAS VICTORY PLUS,20257330,SPK SMA,-,Bojong Rawalumbu,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17116.0,-6.2775,106.9895,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS WIDYA NUSANTARA,20252520,SMA,-,Bojong Rawalumbu,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17116.0,-6.277,106.9992,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS YADIKA 11 BEKASI,20253915,SMA,-,Jatirangga,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat,17434.0,-6.3691,106.9354,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS YADIKA 4,20231727,SMA,-,Jaticempaka,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat,17411.0,-6.2647,106.9149,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAS YADIKA 9,20252421,SMA,-,Bintara Jaya,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat,17136.0,-6.2427,106.948,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS YASFI,20223022,SMA,"Kp. Sawah, Kel. Jati Murni, Kec. Pondok Melati",Jatimurni,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat,17431.0,-6.3276,106.932,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAS YATAMA,20231728,SMA,,Jaticempaka,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat,17411.0,-6.2682,106.9246,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMAN 1 BOGOR,20220342,SMA,Paledang,Paledang,Kec. Kota Bogor Tengah,Kota Bogor,Prov. Jawa Barat,16122.0,-6.5973,106.7933,NEGERI,A,Ada,Tidak ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 10 BOGOR,20220341,SMA,Curug Mekar,Curugmekar,Kec. Kota Bogor Barat,Kota Bogor,Prov. Jawa Barat,16113.0,-6.5598,106.7653,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 2 BOGOR,20238516,SMA,-,Sukaresmi,Kec. Tanah Sareal,Kota Bogor,Prov. Jawa Barat,16165.0,-6.5546,106.7943,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 3 BOGOR,20220332,SMA,Baranang Siang,Baranangsiang,Kec. Kota Bogor Timur,Kota Bogor,Prov. Jawa Barat,16143.0,-6.6073,106.8111,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 4 BOGOR,20220334,SMA,-,Empang,Kec. Kota Bogor Selatan,Kota Bogor,Prov. Jawa Barat,16132.0,-6.6163,106.8006,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 5 BOGOR,20238517,SMA,-,Menteng,Kec. Kota Bogor Barat,Kota Bogor,Prov. Jawa Barat,16111.0,-6.5854,106.784,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 6 BOGOR,20220335,SMA,Tanah Sareal,Tanahsareal,Kec. Tanah Sareal,Kota Bogor,Prov. Jawa Barat,16161.0,-6.5725,106.7991,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 7 BOGOR,20220336,SMA,-,Tegalgundil,Kec. Kota Bogor Utara,Kota Bogor,Prov. Jawa Barat,16152.0,-6.5777,106.8141,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 8 BOGOR,20220337,SMA,Ciparigi,Ciparigi,Kec. Kota Bogor Utara,Kota Bogor,Prov. Jawa Barat,16157.0,-6.5451,106.8201,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 9 BOGOR,20220338,SMA,Ciwaringin,Ciwaringin,Kec. Kota Bogor Tengah,Kota Bogor,Prov. Jawa Barat,16124.0,-6.5927,106.7885,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA BINTANG PELAJAR ISLAMIC BOARDING SCHOOL,70037404,SMA,Kedungjaya,Kedungjaya,Kec. Tanah Sareal,Kota Bogor,Prov. Jawa Barat,16164.0,-6.5609,106.7879,SWASTA,BELUM AKREDITASI,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,TT,20
SMA CAHAYA RANCAMAYA,69883254,SMA,Bojongkaler,Bojongkerta,Kec. Kota Bogor Selatan,Kota Bogor,Prov. Jawa Barat,16139.0,-6.6653167,106.8354433,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA DAAR EN NISA ISLAMIC SCHOOL BOGOR,69949664,SMA,Kedung Badak,Kedungbadak,Kec. Tanah Sareal,Kota Bogor,Prov. Jawa Barat,16164.0,-6.5587,106.7921,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
