NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
SMA NEGERI 1 NGAMPRAH,20227908,Tanimulya,Kec. Ngamprah,Kab. Bandung Barat,40552,-6.8579,107.5291,NEGERI,A
SMA NEGERI 1 SAGULING,69824839,GIRIMUKTI,Kec. Saguling,Kab. Bandung Barat,40561,-6.8879,107.4224,NEGERI,B
SMA NEGERI 2 LEMBANG,69965194,Langensari,Kec. Lembang,Kab. Bandung Barat,40391,-6.8261,107.6437,NEGERI,B
SMAN 1 BATUJAJAR,20227902,Selacau,Kec. Batujajar,Kab. Bandung Barat,40561,-6.9295,107.5054,NEGERI,A
SMAN 1 CIKALONGWETAN,20251782,Mandalamukti,Kec. Cikalongwetan,Kab. Bandung Barat,40556,-6.7477,107.4431,NEGERI,A
SMAN 1 CILILIN,20206146,Cililin,Kec. Cililin,Kab. Bandung Barat,40562,-6.9552104,107.4585243,NEGERI,A
SMAN 1 CIPATAT,20206144,Ciptaharja,Kec. Cipatat,Kab. Bandung Barat,40754,-6.8402,107.3714,NEGERI,A
SMAN 1 CIPEUNDEUY,20206131,NANGGELENG,Kec. Cipeundeuy,Kab. Bandung Barat,40558,-6.763,107.3659,NEGERI,A
SMAN 1 CIPONGKOR,20227869,Sarinagen,Kec. Cipongkor,Kab. Bandung Barat,40764,-6.9385,107.3604,NEGERI,A
SMAN 1 CISARUA,20206227,Jambudipa,Kec. Cisarua,Kab. Bandung Barat,40551,-6.817293,107.548995,NEGERI,A
SMAN 1 PADALARANG,20206208,Padalarang,Kec. Padalarang,Kab. Bandung Barat,40553,-6.8432,107.4759,NEGERI,A
SMAN 1 PARONGPONG,20227901,Cihanjuang Rahayu,Kec. Parongpong,Kab. Bandung Barat,40559,-6.8098,107.5762,NEGERI,A
SMAN 1 RONGGA,20267642,Bojong,Kec. Rongga,Kab. Bandung Barat,40565,-6.9904,107.2695,NEGERI,B
SMAN 1 SINDANGKERTA,20227909,Puncaksari,Kec. Sindangkerta,Kab. Bandung Barat,40563,-6.9899,107.3934,NEGERI,A
SMAN 2 PADALARANG,20227910,Jayamekar,Kec. Padalarang,Kab. Bandung Barat,40553,-6.8527,107.4759,NEGERI,A
Bandung Alliance Intercultural School,69965155,Cipeundeuy,Kec. Padalarang,Kab. Bandung Barat,40553,-6.8683,107.467,SWASTA,B
SMA AL - AZIZ ISLAMIC BOARDING SCHOOL,69964337,Jambudipa,Kec. Cisarua,Kab. Bandung Barat,40551,-6.81799,107.560353,SWASTA,A
