Unnamed: 0,NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
,SMKS TUNAS KANCANA,69754520,Pagermaneuh,Kec. Tanggeung,Kab. Cianjur,43267,-7.2582,107.0871,SWASTA,B
,SMK METLAND,70043556,Wanajaya,Kec. Cibitung,Kab. Bekasi,17520,107.115,-6.2547,SWASTA,A
,SMKS INFORMATIKA GLOBAL NUSANTARA,20256553,Sukaresmi,Kec. Tanah Sareal,Kota Bogor,16165,-6.5508,106.8007,SWASTA,B
,SMKS LPT CIAMIS,20211530,Maleber,Kec. Ciamis,Kab. Ciamis,46214,-7.32364,108.3483017,SWASTA,A
,SMK BUNDA AUNI,20269515,Jatiasih,Kec. Jatiasih,Kota Bekasi,17423,-6.2879,106.9573,SWASTA,A
,SMKS IBS TATHMAINUL QULUUB,20271883,Panyindangan Wetan,Kec. Sindang,Kab. Indramayu,45222,-6.366,108.3027,SWASTA,B
,SMKS INSAN NUR MUHAMMAD,20272052,Tapos 1,Kec. Tenjolaya,Kab. Bogor,16620,-6.6621,106.7014,SWASTA,B
,SMKS ISTIQOMAH MARUYUNG,69774723,Cipeujeuh,Kec. Pacet,Kab. Bandung,40385,-7.0906,107.7069,SWASTA,B
,SMKN 1 CIPAKU,20254621,Muktisari,Kec. Cipaku,Kab. Ciamis,46252,-7.2672,108.3826,NEGERI,B
,SMKS PELITA HUSADA,10648871,Cimandala,Kec. Sukaraja,Kab. Bogor,16710,-6.4838,106.478,SWASTA,B
,SMK SUMPAH PEMUDA 3 GADOG,70043642,Gadog,Kec. Megamendung,Kab. Bogor,16770,-6.6589,106.866,SWASTA,A
,SMKS PERSADA,69757214,Subangjaya,Kec. Cikole,Kota Sukabumi,43116,-6.9054,106.9529,SWASTA,A
,SMKS AL MUMMTAZ TANJUNGSIANG,20233771,Sindanglaya,Kec. Tanjungsiang,Kab. Subang,41284,-6.7279,107.8076,SWASTA,B
,SMKS WISATA SATRIA 2,20232497,BENDUNGAN,Kec. Ciawi,Kab. Bogor,16720,-6.6618,106.8529,SWASTA,C
,SMKS PASUNDAN PERKASA DAARUL HIDAYAH,69830696,Batujajar Timur,Kec. Batujajar,Kab. Bandung Barat,40561,-6.9125,107.5088,SWASTA,C
,SMK BINA PUTRA MANDIRI,69857713,Setiamulya,Kec. Tamansari,Kota Tasikmalaya,46196,-7.3862,108.2304,SWASTA,C
,SMK BINA NUSANTARA,70002373,Singabangsa,Kec. Tenjo,Kab. Bogor,16370,-6.3535,106.4818,SWASTA,B
,SMK YABA NUSANTARA,69970491,Cikawung,Kec. Tanjungsiang,Kab. Subang,41284,-6.7031343,107.7983005,SWASTA,B
,SMK IGASARPINDAD,69873570,Jatihurip,Kec. Cisayong,Kab. Tasikmalaya,46153,-7.266,108.1825,SWASTA,B
,SMK MUSLIM CENDIKIA,69892760,Pasirsuren,Kec. Pelabuhan Ratu,Kab. Sukabumi,43364,-6.995,106.6223,SWASTA,B
,SMKS PASUNDAN 2 BANDUNG,20219148,Maleber,Kec. Andir,Kota Bandung,40184,-6.9066,107.5719,SWASTA,A
,SMK NAHDHATUL UMAM,70009925,Kempek,Kec. Gempol,Kab. Cirebon,45161,-6.6945,108.4212,SWASTA,B
,SMKS TPI AL-Ghoniyyah Selaawi,69774523,Cigawir,Kec. Selaawi,Kab. Garut,44187,-7.0226,108.0035,SWASTA,A
,SMKS TERATAI PUTIH GLOBAL 2 BEKASI,20254039,Kayuringin Jaya,Kec. Bekasi Selatan,Kota Bekasi,17144,-6.2364317,106.9799633,SWASTA,A
,SMK NASIONAL SUMBER,69899812,Watubelah,Kec. Sumber,Kab. Cirebon,45611,-6.7424,108.4953,SWASTA,B
,SMKS ISLAM TERPADU MARIFA,69753590,Pusparaja,Kec. Cigalontang,Kab. Tasikmalaya,46463,-7.3387,107.9946,SWASTA,B
,SMKS YUDHA UTAMA NGAMPRAH,20227974,Cimareme,Kec. Ngamprah,Kab. Bandung Barat,40552,-6.8672,107.5121,SWASTA,A
,SMKS AL-MUHAJIRIN,69757439,Cikangkung,Kec. Ciracap,Kab. Sukabumi,43176,-7.342546,106.456086,SWASTA,B
,SMKS BUDI MULYA GEGESIK,20270760,Bayalangu Kidul,Kec. Gegesik,Kab. Cirebon,45164,-6.8212,108.6865,SWASTA,B
,SMKS GLOBIN,20269064,Sinar Sari,Kec. Dramaga,Kab. Bogor,16680,-6.6,106.7619,SWASTA,B
,SMKS YZA 3 BOGOR,20220296,Kebonkelapa,Kec. Kota Bogor Tengah,Kota Bogor,16125,-6.6517,106.8455,SWASTA,C
,SMK PPN TANJUNGSARI,20254188,Gunungmanik,Kec. Tanjungsari,Kab. Sumedang,45362,-6.8991,107.8181,NEGERI,A
,SMK SARIWANGI,69873966,Jayaputra,Kec. Sariwangi,Kab. Tasikmalaya,46465,-7.3262,108.0739,SWASTA,B
,SMK BPI 64,69955233,Ciluluk,Kec. Cikancung,Kab. Bandung,40396,-7.0266,107.8092,SWASTA,C
,SMKS MANDALAHAYU BEKASI,20223127,Margahayu,Kec. Bekasi Timur,Kota Bekasi,17113,-6.2582,107.0159,SWASTA,A
,SMKS MITRA BATIK TASIKMALAYA,20224519,Cipedes,Kec. Cipedes,Kota Tasikmalaya,46133,-7.3081,108.2082,SWASTA,A
,SMK GAPURA EDUCATIONAL TECHNOLOGY,69861092,Cibunar,Kec. Parungpanjang,Kab. Bogor,16360,-6.3446,106.5575,SWASTA,C
,SMKS MUHAMMADIYAH 3 BANDUNG,20219182,Rancabolang,Kec. Gedebage,Kota Bandung,40296,-6.943,107.6899,SWASTA,B
,SMKS ANNUR,20223035,Perwira,Kec. Bekasi Utara,Kota Bekasi,17122,-6.2103,107.0034,SWASTA,B
,SMKS KESEHATAN KH MOH ILYAS RUHIAT,20268062,Cipakat,Kec. Singaparna,Kab. Tasikmalaya,46417,-7.3447,108.1258,SWASTA,A
,SMK BINA TUNGGAL MURANDIKA PUTRA BEKASI,69945768,Harapan Mulya,Kec. Medan Satria,Kota Bekasi,17132,-6.2302,106.9843,SWASTA,C
,SMKS PGRI BUNGBULANG,20227483,Bungbulang,Kec. Bungbulang,Kab. Garut,44165,-7.4525,107.6056,SWASTA,A
,SMK 21 AL MISBAH,69812112,Tegalluar,Kec. Bojongsoang,Kab. Bandung,40297,-6.9819,107.7009,SWASTA,B
,SMK DARUL HIKAM BINONG,20271052,Binong,Kec. Binong,Kab. Subang,41253,-6.381,107.7952,SWASTA,B
,SMKS TERPADU BANGUN PERSADA,60728701,Blanakan,Kec. Blanakan,Kab. Subang,41259,-6.3379,107.6605,SWASTA,B
,SMKIT AL-FATH JALEN,69940507,Jejalen Jaya,Kec. Tambun Utara,Kab. Bekasi,17510,-6.2341,107.0655,SWASTA,B
,SMK PERMATA MANDIRI,69888446,Tanjung,Kec. Jampang Kulon,Kab. Sukabumi,43178,-7.2422,106.6217,SWASTA,B
,SMKS ASYSAAKIRIN,20253413,Rajadatu,Kec. Cineam,Kab. Tasikmalaya,46198,-7.3811,108.3924,SWASTA,B
,SMKN 1 SUKABUMI,20221568,Selabatu,Kec. Cikole,Kota Sukabumi,43114,-6.9057,106.9306,NEGERI,A
,SMKN 1 BOGOR,20220273,Tanahsareal,Kec. Tanah Sareal,Kota Bogor,16161,-6.5694,106.8033,NEGERI,A
,SMKS MUHAMMADIYAH SEGERAN JUNTINYUAT,20253138,Segeran Kidul,Kec. Juntinyuat,Kab. Indramayu,45282,-6.4678,108.3943,SWASTA,B
,SMKS IT ATTAQWA 07,69774853,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17519,-6.2333,107.0724,SWASTA,C
,SMKS AL-FATAH Sukabumi,69962735,Padasenang,Kec. Cidadap,Kab. Sukabumi,43183,-7.277,106.9422,SWASTA,C
,SMKS TARUNA NUSANTARA JAYA,69761971,Cisomang Barat,Kec. Cikalongwetan,Kab. Bandung Barat,40556,-6.7227,107.4544,SWASTA,B
,SMKS KESEHATAN ANNISA 3,10648863,Puspasari,Kec. Citeureup,Kab. Bogor,16810,-6.4739,106.8728,SWASTA,A
,SMKS KOMUNIKA PRESTASI GENTUR PADAKEMBANG,20268064,Rancapaku,Kec. Padakembang,Kab. Tasikmalaya,46466,-7.3283,108.1387,SWASTA,B
